"player_id","_c1"
"blackni01","0"
"blackro01","1"
"blackti01","24"
"blacktr01","0"
"bladera01","112"
"bladtri01","13"
"blaehge01","9"
"blaemra01","0"
"blairbi01","1"
"blairbu01","48"
"blairde01","5"
"blairfo01","97"
"blairpa01","102"
"blairwa01","23"
"blairwi01","3"
"blaisdi01","1"
"blakeca01","93"
"blakeed01","0"
"blakeha01","66"
"blakeli01","11"
"blakesh01","11"
"blakibo01","40"
"blaloha01","107"
"blancal01","0"
"blancan01","17"
"blancda01","5"
"blancgi01","0"
"blancgr01","52"
"blanche01","36"
"blancjo01","38"
"blancos01","4"
"blancto01","7"
"blandfr01","13"
"blandna01","0"
"blankcl01","8"
"blankco01","0"
"blankfr01","0"
"blankho01","0"
"blankke01","0"
"blankky01","24"
"blankla01","49"
"blankla02","59"
"blankma01","0"
"blankte01","10"
"blantcy01","6"
"blantjo01","8"
"blasido01","108"
"blasiwa01","5"
"blassst01","12"
"blatest01","0"
"blatnjo01","56"
"blattbu01","63"
"blausje01","110"
"blauvhe01","3"
"blaylbo01","0"
"blaylga01","4"
"blaylma01","61"
"blaziro01","0"
"blefacu01","73"
"blemkra01","0"
"blessik01","0"
"blethcl01","0"
"blevije01","0"
"blewebo01","1"
"blighne01","9"
"blissel01","0"
"blissfr01","1"
"blissja01","36"
"blockbr01","12"
"blockcy01","6"
"blockte01","13"
"bloggwe01","0"
"blombro01","45"
"blomdbe01","NULL"
"blongjo01","30"
"bloodji01","62"
"bloombu01","1"
"bloomwi01","52"
"blossgr01","2"
"blottja01","0"
"blowemi01","59"
"bluebe01","2"
"bluegos01","82"
"bluegot01","17"
"bluejji01","3"
"bluelu01","131"
"bluevi01","8"
"bluhmre01","0"
"blumaja01","NULL"
"blumecl01","1"
"blumge01","57"
"blylebe01","9"
"blyzkmi01","1"
"boakch01","1"
"boardch01","1"
"boardfr01","0"
"bobbra01","0"
"bocachi01","15"
"boccajo01","25"
"bocekmi01","3"
"bochtbr01","81"
"bochtdo01","0"
"bochybr01","16"
"bockmed01","23"
"bockura01","0"
"bococbr01","4"
"boddimi01","1"
"bodiepi01","75"
"boeckto01","93"
"boehlge01","3"
"boehljo01","10"
"boehmle01","5"
"boehrbr01","0"
"boernla01","0"
"boescbr01","75"
"boevejo01","0"
"bogarjo01","1"
"bogarti01","44"
"bogente01","6"
"boggsbr01","30"
"boggsmi01","1"
"boggsra01","0"
"boggsto01","2"
"boggswa01","128"
"boglewa01","0"
"bogusbr01","22"
"bohanbr01","6"
"bohenpa01","0"
"bohnch01","0"
"bohnejo01","NULL"
"bohnesa01","98"
"bohntj01","2"
"boiscbr01","42"
"boitada01","0"
"bokeldi01","0"
"bokenbo01","30"
"bokinjo01","0"
"bolan01","0"
"bolanbe01","9"
"bolaned01","5"
"boldch01","0"
"boldebi01","0"
"bolenst01","2"
"bolesca01","4"
"boleyjo01","49"
"bolgeji01","28"
"bolicfr01","25"
"bolinbo01","7"
"bollifr01","91"
"bollija01","27"
"bollimi01","42"
"bollogr01","0"
"bollwdo01","35"
